Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,12/22/1970,21:30:00,Cosmos-3M (11K65M),DS-P1-M #1,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,12/25/1970,3:50:00,Molniya-M /Block L,Molniya-1 n­22,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,1/12/1971,9:30:00,Voskhod,Cosmos 390,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,1/14/1971,12:00:00,Cosmos-2I (63SM),Cosmos 391,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,1/20/1971,11:24:00,Vostok-2M,Meteor n­18,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,1/21/1971,8:40:00,Voskhod,Cosmos 392,0,,1
US Air Force,SLC-4W,Vandenberg AFB,California,USA,1/21/1971,18:28:00,Titan III(23)B,OPS 7776,0,,1
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,1/26/1971,0:36:00,Atlas-SLV3C Centaur-D,Intelsat 4 F2,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,1/26/1971,12:44:00,Cosmos-2I (63SM),Cosmos 393,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,1/31/1971,21:03:00,Saturn V,Apollo 14,0,1160,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,2/9/1971,18:48:00,Cosmos-3M (11K65M),Cosmos 394,0,,1
ISAS,Mu Pad,Uchinoura Space Center,,Japan,2/16/1971,4:00:00,Mu-IV S,Tansei 1,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,2/17/1971,21:10:00,Cosmos-3M (11K65M),Cosmos 395,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,2/18/1971,13:59:00,Voskhod,Cosmos 396,0,,1
ISAS,Mu Pad,Uchinoura Space Center,,Japan,2/21/1971,5:00:00,Mu-III C,Hakucho,0,,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,2/25/1971,11:11:00,Tsyklon-2,Cosmos 397,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,2/26/1971,5:06:00,Soyuz L,Cosmos 398 (T2K Lunar Lander),0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,3/3/1971,9:30:00,Voskhod,Cosmos 399,0,,1
CASC,Site 5020 (LA-2A),Jiuquan Satellite Launch Center,,China,3/3/1971,12:15:00,Long March 1,Shijian 1,0,,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,3/4/1971,14:27:00,Tsyklon-2,Cosmos 404,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,3/5/1971,1:02:00,Voskhod,Zenit-2M n­17,0,,2
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,3/5/1971,8:15:00,Cosmos-2I (63SM),DS-P1-You #39,0,,2
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,3/18/1971,21:45:00,Cosmos-3M (11K65M),Cosmos 400,0,,1
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,3/21/1971,3:45:00,Titan-III(33)B Agena-D,Jumpseat 1,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,3/23/1971,11:30:00,Cosmos-3M (11K65M),Cosmos 407,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,3/27/1971,10:59:00,Voskhod,Cosmos 401,0,,1
RVSN USSR,Site 90/19,Baikonur Cosmodrome,,Kazakhstan,4/1/1971,11:29:00,Tsyklon-2,Cosmos 402,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,4/2/1971,8:20:00,Voskhod,Cosmos 403,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,4/7/1971,7:10:00,Vostok-2M,Cosmos 405,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,4/14/1971,8:00:00,Voskhod,Cosmos 406,0,,1
CNES,ELD,Guiana Space Centre,French Guiana,France,4/15/1971,9:09:00,Diamant B,Tournesol,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,4/17/1971,11:44:00,Vostok-2M,Meteor n­19,0,,1
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,4/19/1971,1:40:00,Proton K,Saliout-1,0,,1
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,4/22/1971,4:22:00,Cosmos-3MRB (65MRB),BOR-2 Shuttle,0,,1
US Air Force,SLC-4W,Vandenberg AFB,California,USA,4/22/1971,15:30:00,Titan III(23)B,OPS 7899,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/22/1971,23:54:00,Soyuz,Soyuz 10,0,,1
ASI,Santa Rita 2,San Marco Launch Platform,,Kenya,4/24/1971,7:32:00,Scout B,San Marco 3,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,4/24/1971,11:15:00,Cosmos-2I (63SM),Cosmos 408,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,4/28/1971,14:35:00,Cosmos-3M (11K65M),Cosmos 409,0,,1
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,5/5/1971,7:43:00,Titan III(23)C,DSP-2,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,5/6/1971,6:20:00,Voskhod,Cosmos 410,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,5/7/1971,14:20:00,Cosmos-3M (11K65M),Cosmos 411 to 418,0,,1
