Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,10/18/1990,5:39:00,Delta II 6925,Thor 1,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,10/30/1990,23:16:00,Delta II 6925,Inmarsat-2 F1,0,,1
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,11/13/1990,0:37:00,Titan IV(402)A,DSP,0,,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,11/14/1990,6:33:00,Tsyklon-2,Cosmos 2103,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,11/15/1990,23:48:00,Space Shuttle Atlantis,STS-38,0,450,1
RVSN USSR,Site 16/2,Plesetsk Cosmodrome,,Russia,11/20/1990,2:33:00,Molniya-M /Block 2BL,Cosmos 2105,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,11/20/1990,23:11:00,Ariane 42P,"Satcom C1, GStar-4",0,,1
RVSN USSR,Site 131/29,Baikonur Cosmodrome,,Kazakhstan,11/20/1990,,Rokot/Briz K,GVM Demo Flight,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,11/23/1990,3:51:00,Molniya-M /Block ML,Molniya-1 n­146,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,11/26/1990,21:39:00,Delta II 7925,USA-66 (GPS IIA-1),0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,11/28/1990,,Tsyklon-3,Cosmos 2106,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,12/1/1990,15:57:00,Atlas-E/F Star-37S-ISS,DMSP F-10,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,12/2/1990,6:49:00,Space Shuttle Columbia,STS-35,0,450,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,12/4/1990,0:48:00,Tsyklon-2,Cosmos 2107,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,12/10/1990,7:54:00,Cosmos-3M (11K65M),Cosmos 2112,0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,12/22/1990,7:28:00,Tsyklon-3,Cosmos 2114 to 2119,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,1/8/1991,0:53:00,Delta II 7925,NATO 4A,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,1/15/1991,23:10:00,Ariane 44L,"Italsat-1, Eutelsat 2F2",0,,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,1/18/1991,11:34:00,Tsyklon-2,Cosmos 2122,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,1/29/1991,,Cosmos-3M (11K65M),Oscar-21,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,2/5/1991,2:36:00,Cosmos-3M (11K65M),Cosmos 2123,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,2/12/1991,2:44:00,Cosmos-3M (11K65M),Cosmos 2125 to 2132,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,2/15/1991,15:19:00,Molniya-M /Block ML,Molniya-1 n­147,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,2/26/1991,4:53:00,Cosmos-3M (11K65M),Cosmos 2135,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,3/2/1991,23:36:00,Ariane 44LP,"Astra 1B, Meteosat 5",0,,1
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,3/8/1991,12:03:00,Titan IV(403)A,Lacrosse,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,3/8/1991,23:03:00,Delta II 6925,Inmarsat-2 F2,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,3/12/1991,19:29:00,Cosmos-3M (11K65M),Nadiezhda n­6,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,3/19/1991,14:30:00,Cosmos-3M (11K65M),Cosmos 2137,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,3/22/1991,12:19:00,Molniya-M /Block ML,Molniya-3 n­148,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,4/4/1991,23:33:00,Ariane 44P,Anik E2,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,4/5/1991,14:22:00,Space Shuttle Atlantis,STS-37,0,450,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,4/13/1991,0:09:00,Delta II 7925,ASC-2 (Spacenet F4),0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,4/16/1991,7:21:00,Cosmos-3M (11K65M),Cosmos 2142,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,4/18/1991,23:30:00,Atlas I,Yuri 3H,0,,2
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,4/24/1991,1:36:00,Tsyklon-3,Meteor-3 n­4,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,4/28/1991,11:33:00,Space Shuttle Discovery,STS-39,0,450,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,5/14/1991,15:52:00,Atlas-E/F Star-37S-ISS,NOAA-D,0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,5/16/1991,21:40:00,Tsyklon-3,Cosmos 2143 to 2148,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,5/29/1991,22:55:00,Delta II 7925,Aurora 2,0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,6/4/1991,9:00:00,Tsyklon-3,Okean 3,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,6/5/1991,13:24:00,Space Shuttle Columbia,STS-40,0,450,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,6/11/1991,5:42:00,Cosmos-3M (11K65M),Cosmos 2150,0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,6/13/1991,15:41:00,Tsyklon-3,Cosmos 2151,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,6/18/1991,9:09:00,Molniya-M /Block ML,Molniya-1 n­149,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,6/25/1991,13:20:00,Cosmos-3M (11K65M),Ta??foun n­59,0,,2
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,7/4/1991,2:32:00,Delta II 7925,USA-71 (GPS IIA-2),0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,7/17/1991,1:46:00,Ariane 40,"ERS-1, Oscar 22, Orbcomm-X, Tubsat-A, SARA",0,,1
Northrop,NB-52B Carrier,Edwards AFB,California,USA,7/21/1991,17:33:00,Pegasus/HAPS,7 Microsats,0,40,3
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,8/1/1991,11:53:00,Molniya-M /Block ML,Molniya-1 n­150,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,8/2/1991,15:02:00,Space Shuttle Atlantis,STS-43,0,450,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,8/14/1991,23:15:00,Ariane 44L,Intelsat 605,0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,8/15/1991,9:14:00,Tsyklon-3,Meteor-3 n­5,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,8/22/1991,12:35:00,Cosmos-3M (11K65M),Cosmos 2154,0,,1
MHI,LA-Y1,Tanegashima Space Center,,Japan,8/25/1991,8:40:00,H-I UM-129A (9SO),BS-3B,0,,1
MHI,SLC-N,Tanegashima Space Center,,Japan,8/25/1991,8:40:00,H-I (9 SO),BS-3B (Yuri-3B),0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,8/29/1991,6:48:00,Vostok-2M,IRS-1B,0,,1
ISAS,Mu Pad,Uchinoura Space Center,,Japan,8/30/1991,2:30:00,Mu-III S2,Yohkoh,0,,1
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,8/30/1991,8:58:00,Zenit-2,Tselina-2 n­9,0,,2
NASA,LC-39A,Kennedy Space Center,Florida,USA,9/12/1991,23:11:00,Space Shuttle Discovery,STS-48,0,450,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,9/17/1991,20:01:00,Molniya-M /Block ML,Molniya-3 n­151,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,9/26/1991,23:43:00,Ariane 44P,Anik E1,0,,1
RVSN USSR,Site 32/2,Plesetsk Cosmodrome,,Russia,9/28/1991,7:05:00,Tsyklon-3,Cosmos 2157 to 2162,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,10/10/1991,14:00:00,Cosmos-3M (11K65M),Cosmos 2164,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,10/29/1991,23:08:00,Ariane 44L,Intelsat 6AF1,0,,1
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,11/8/1991,7:07:00,Titan IV(403)A,SLDCOM & NOSS 3x,0,,1
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,11/12/1991,20:09:00,Tsyklon-3,Cosmos 2165 to 2170,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,11/24/1991,23:44:00,Space Shuttle Atlantis,STS-44,0,450,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,11/27/1991,3:30:00,Cosmos-3M (11K65M),Cosmos 2173,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,11/28/1991,13:23:00,Atlas-E/F Star-37S-ISS,DMSP F-11,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,12/7/1991,22:47:00,Atlas II,Eutelsat 2F3,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,12/16/1991,22:19:00,Ariane 44L,"Telecom 2A, Inmarsat 2F3",0,,1
Yuzhmash,Site 32/2,Plesetsk Cosmodrome,,Russia,12/18/1991,3:54:00,Tsyklon-3,Intercosmos 25 & Magion 3,0,,1
RVSN USSR,Site 175/58,Baikonur Cosmodrome,,Kazakhstan,12/20/1991,,Rokot/Briz K,GVM Demo Flight,0,,1
CASC,LC-3,Xichang Satellite Launch Center,,China,12/28/1991,12:00:00,Long March 3,DFH-2A-T5,0,,3
NASA,LC-39A,Kennedy Space Center,Florida,USA,1/22/1992,14:52:00,Space Shuttle Discovery,STS-42,0,450,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,1/24/1992,1:18:00,Molniya-M /Block 2BL,Cosmos 2176,0,,1
RVSN USSR,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,2/5/1992,18:14:00,Zenit-2,Tselina-2 n­10,0,,2
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,2/11/1992,0:41:00,Atlas II,USA-78 (DSCS IIIB-14),0,,1
MHI,LA-Y1,Tanegashima Space Center,,Japan,2/11/1992,1:50:00,H-I (9 SO),JERS 1,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,2/17/1992,22:05:00,Cosmos-3M (11K65M),Cosmos 2180,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,2/26/1992,23:58:00,Ariane 44L,"Superbird-B1, Arabsat-1C",0,,1
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,3/4/1992,4:27:00,Molniya-M /Block ML,Molniya-1 n­152,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,3/9/1992,22:35:00,Cosmos-3M (11K65M),Cosmos 2181,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,3/14/1992,0:00:00,Atlas I,Galaxy 5,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,3/23/1992,22:29:00,Delta II 7925,USA-79 (GPS IIA-3),0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,3/24/1992,13:13:00,Space Shuttle Atlantis,STS-45,0,450,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,4/10/1992,3:20:00,Delta II 7925,USA-80 (GPS IIA-4),0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,4/15/1992,7:17:00,Cosmos-3M (11K65M),Cosmos 2184,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,4/15/1992,23:25:00,Ariane 44L,"Telecom 2B, Inmarsat-2F4",0,,1
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,4/25/1992,8:53:00,Titan II(23)G,USA-81,0,35,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,5/7/1992,23:40:00,Space Shuttle Endeavour,STS-49,0,450,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,5/14/1992,0:40:00,Delta II 7925,Palapa B4,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,6/3/1992,0:50:00,Cosmos-3M (11K65M),Cosmos 2187 to 2194,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,6/7/1992,16:40:00,Delta II 6920-10,EUVE,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,6/10/1992,0:00:00,Atlas IIA,Intelsat K,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,6/25/1992,16:12:00,Space Shuttle Columbia,STS-50,0,450,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,7/1/1992,20:16:00,Cosmos-3M (11K65M),Cosmos 2195,0,,1
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,7/2/1992,21:54:00,Atlas II,USA-82 (DSCS IIIB-12),0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,7/7/1992,9:20:00,Delta II 7925,USA-83 (GPS IIA-5),0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,7/8/1992,9:53:00,Molniya-M /Block 2BL,Cosmos 2196,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,7/9/1992,22:42:00,Ariane 44L,"Insat-2A, Eutelsat 2F4",0,,1
RVSN USSR,Site 32/1,Plesetsk Cosmodrome,,Russia,7/13/1992,17:41:00,Tsyklon-3,Cosmos 2197 to 2202,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,7/24/1992,9:20:00,Delta II 7925,Satcom C4,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,7/24/1992,14:26:00,Delta II 6925,GEOTAIL,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,7/31/1992,13:56:00,Space Shuttle Atlantis,STS-46,0,450,1
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,8/6/1992,19:30:00,Molniya-M /Block NVL,Molniya-1 n­153,0,,1
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,8/9/1992,8:00:00,Long March 2D,FSW-2 No.1,1,29.75,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,8/10/1992,23:04:00,Ariane 42P,"TOPEX/Poseidon, Oscar 23, S80/T",0,,1
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,8/12/1992,5:44:00,Cosmos-3M (11K65M),Cosmos 2208,0,,1
CASC,LC-2,Xichang Satellite Launch Center,,China,8/13/1992,23:00:00,Long March 2E,Optus-B1,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,8/22/1992,22:40:00,Atlas I,Galaxy 1R,0,,2
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,9/9/1992,8:57:00,Delta II 7925,USA-84 (GPS IIA-6),0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,9/10/1992,23:04:00,Ariane 44LP,"Hispasat 1A, Satcom C3",0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,9/12/1992,14:23:00,Space Shuttle Endeavour,STS-47,0,450,1
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,9/25/1992,17:05:00,Commercial Titan III,Mars Observer,0,136.6,1
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,10/6/1992,6:20:00,Long March 2C,"FSW-1 No.4, Freja",1,30.8,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,10/12/1992,9:47:00,Delta II 7925,DFS Kopernikus 3,0,,1
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,10/14/1992,19:58:00,Molniya-M /Block ML,Molniya-3 n­154,0,,1
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,10/20/1992,12:58:00,Tsyklon-3,Cosmos 2211 to 2216,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,10/22/1992,17:09:00,Space Shuttle Columbia,STS-52,0,450,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,10/28/1992,0:15:00,Ariane 42P,Galaxy-7,0,,1
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,10/29/1992,10:40:00,Cosmos-3M (11K65M),Cosmos 2218,0,,1
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,11/17/1992,7:47:00,Zenit-2,Cosmos 2219,0,,1
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,11/21/1992,10:21:00,Molniya-M /Block 2BL,Cosmos 2217,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,11/22/1992,23:54:00,Delta II 7925,USA-85 (GPS IIA-7),0,,1
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,11/24/1992,4:09:00,Tsyklon-3,Cosmos 2221,0,,1
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,11/25/1992,12:18:00,Molniya-M /Block 2BL,Cosmos 2222,0,,1
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,11/28/1992,21:34:00,Titan IV(404)A,KH-11 Kennen,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,12/1/1992,22:48:00,Ariane 42P,Superbird A1,0,,1
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,12/2/1992,1:57:00,Molniya-M /Block ML,Molniya-3 n­155,0,,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,12/2/1992,13:24:00,Space Shuttle Discovery,STS-53,0,450,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,12/18/1992,22:16:00,Delta II 7925,USA-87 (GPS IIA-8),0,,1
CASC,LC-2,Xichang Satellite Launch Center,,China,12/21/1992,11:21:00,Long March 2E,Optus-B2,0,,2
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,12/22/1992,12:36:00,Tsyklon-3,Cosmos 2226,0,,1
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,12/25/1992,5:56:00,Zenit-2,Cosmos 2227,0,,1
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,12/25/1992,20:07:00,Tsyklon-3,Cosmos 2228,0,,1
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,1/12/1993,11:10:00,Cosmos-3M (11K65M),Cosmos 2230,0,,1
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,1/13/1993,1:49:00,Molniya-M /Block ML,Molniya-1 n­156,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,1/13/1993,13:59:00,Space Shuttle Endeavour,STS-54,0,450,1
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,1/26/1993,15:55:00,Molniya-M /Block 2BL,Cosmos 2232,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,2/3/1993,2:55:00,Delta II 7925,USA-88 (GPS IIA-9),0,,1
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,2/9/1993,2:56:00,Cosmos-3M (11K65M),Cosmos 2233,0,,1
Northrop,NB-52B Carrier,Cape Canaveral AFS,Florida,USA,2/9/1993,14:30:00,Pegasus,SCD-1,0,40,1
ISAS,Mu Pad,Uchinoura Space Center,,Japan,2/20/1993,2:20:00,Mu-III S2,Asuka,0,,1
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,3/16/1993,7:49:00,Tsyklon-3,Cosmos 2242,0,,1
MITT,Site 158,Plesetsk Cosmodrome,,Russia,3/25/1993,13:15:00,Start-1,EKA-1,1,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,3/25/1993,21:38:00,Atlas I,UHF F1,0,,2
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,3/26/1993,2:21:00,Zenit-2,Cosmos 2237,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,3/30/1993,3:09:00,Delta II 7925,USA-90 (GPS IIA-10)/SEDS-1,0,,1
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,3/30/1993,12:00:00,Tsyklon-2,Cosmos 2238,0,,1
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,4/1/1993,18:57:00,Cosmos-3M (11K65M),Cosmos 2239,0,,1
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,4/6/1993,19:07:00,Molniya-M /Block 2BL,Cosmos 2241,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,4/8/1993,5:29:00,Space Shuttle Discovery,STS-56,0,450,1
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,4/9/1993,8:58:00,Molniya-M /Block 2BL,Cosmos 2340,0,,1
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,4/16/1993,7:49:00,Tsyklon-3,Cosmos 2242,0,,1
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,4/21/1993,0:23:00,Molniya-M /Block ML,Molniya-3 n­157,0,,1
Northrop,NB-52B Carrier,Edwards AFB,California,USA,4/25/1993,13:56:00,Pegasus,ALEXIS,0,40,1
NASA,LC-39A,Kennedy Space Center,Florida,USA,4/26/1993,14:50:00,Space Shuttle Columbia,STS-55,0,450,1
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,4/28/1993,3:39:00,Tsyklon-2,Cosmos 2244,0,,1
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,5/11/1993,14:56:00,Tsyklon-3,Cosmos 2245 to 2250,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,5/12/1993,0:56:00,Ariane 42L,"Astra 1C, Arsene",0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,5/13/1993,0:07:00,Delta II 7925,USA-91 (GPS IIA-11),0,,1
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,5/26/1993,3:23:00,Molniya-M /Block ML,Molniya-1 n­158,0,,1
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,6/16/1993,4:17:00,Cosmos-3M (11K65M),Cosmos 2251,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,6/21/1993,13:07:00,Space Shuttle Endeavour,STS-57,0,450,1
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,6/24/1993,4:12:00,Tsyklon-3,Cosmos 2252 to 2257,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,6/25/1993,0:18:00,Ariane 44P,Galaxy-4,0,,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,6/26/1993,13:27:00,Delta II 7925,USA-92 (GPS IIA-12)/PMG,0,,1
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,7/7/1993,7:15:00,Tsyklon-2,Cosmos 2258,0,,1
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,7/19/1993,22:04:00,Atlas II,USA-93 (DSCS IIIB-9),0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,7/22/1993,22:58:00,Ariane 44L,"Hispasat 1B, Insat-2B",0,,1
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,8/2/1993,19:59:00,Titan IV(403)A,SLDCOM & 3x NOSS,0,,2
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,8/4/1993,0:52:00,Molniya-M /Block ML,Molniya-3 n­159,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,8/9/1993,10:02:00,Atlas-E/F Star-37S-ISS,NOAA-I,0,,1
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,8/10/1993,14:53:00,Molniya-M /Block 2BL,Cosmos 2261,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,8/30/1993,12:38:00,Delta II 7925,USA-94 (GPS IIA-13),0,,1
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,8/31/1993,4:40:00,Tsyklon-3,Meteor-2 n­21 & Temisat,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,9/3/1993,11:17:00,Atlas I,UHF F2,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,9/12/1993,11:45:00,Space Shuttle Discovery,STS-51,0,450,1
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,9/16/1993,7:36:00,Zenit-2,Cosmos 2263,0,,1
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,9/17/1993,0:43:00,Tsyklon-2,Cosmos 2264,0,,1
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,9/20/1993,5:12:00,PSLV-G,IRS-P1,0,25,2
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,9/26/1993,1:45:00,Ariane 40,"SPOT-3, Stella & Others",0,,1
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,10/5/1993,17:56:00,Titan II(23)G,Landsat 6,0,35,2
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,10/8/1993,8:00:00,Long March 2C,FSW-1 No.5,1,30.8,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,10/18/1993,14:53:00,Space Shuttle Columbia,STS-58,0,450,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,10/22/1993,6:46:00,Ariane 44LP,Intelsat 701,0,,1
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,10/26/1993,13:00:00,Cosmos-3M (11K65M),Cosmos 2265,0,,1
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,10/26/1993,17:04:00,Delta II 7925,USA-96 (GPS IIA-14),0,,1
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,11/2/1993,12:10:00,Cosmos-3M (11K65M),Cosmos 2266,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,11/20/1993,1:17:00,Ariane 44LP,"Solidaridad 1, Meteosat 6",0,,1
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,11/28/1993,23:40:00,Atlas II,USA-97 (DSCS IIIB-10,0,,1
NASA,LC-39B,Kennedy Space Center,Florida,USA,12/2/1993,9:27:00,Space Shuttle Endeavour,STS-61,0,450,1
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,12/8/1993,0:48:00,Delta II 7925,NATO 4B,0,,1
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,12/16/1993,0:38:00,Atlas IIAS,Telstar 401,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,12/18/1993,1:27:00,Ariane 44L,"DBS-1, Thaicom-1",0,,1
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,12/22/1993,20:37:00,Molniya-M /Block ML,Molniya-1T n­160,0,,1
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,1/24/1994,21:37:00,Ariane 44LP,"Eutelsat 2F5, Turksat 1A",0,,2
